                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                 1.1372,                 2.9268,                 1.1923,                 0.5452,                0.56945,                0.62198,                0.48831,                 1.0031,                 2.1494,                 1.2087,              0.0099915,              0.0099915,              0.0099915
                     88,                 1.1944,                 2.8049,                 1.2429,                0.72835,                0.21437,                0.41074,                0.30975,                 1.3065,                 3.4152,                 1.6525,              0.0099914,              0.0099914,              0.0099914
                     89,                 1.2242,                 2.9805,                 1.2448,                0.62697,                0.33355,                0.46589,                  0.347,                 1.2216,                 2.9261,                 1.4365,              0.0099913,              0.0099913,              0.0099913
                     90,                 1.0722,                 2.8781,                 1.2051,                0.65792,                0.24678,                0.35854,                 0.2679,                 1.1715,                 3.5311,                  1.509,              0.0099912,              0.0099912,              0.0099912
                     91,                 1.2076,                 2.8903,                 1.2274,                0.59196,                0.41257,                0.50372,                0.38068,                 1.1244,                 2.9352,                 1.3338,              0.0099911,              0.0099911,              0.0099911
                     92,                  1.164,                 2.9505,                 1.2585,                0.55642,                0.47613,                0.55786,                0.44696,                0.88299,                 2.6393,                 1.1308,               0.009991,               0.009991,               0.009991
                     93,                 1.1462,                 2.9872,                 1.2217,                0.50783,                0.52061,                0.58637,                0.43128,                 1.1019,                 2.4124,                 1.2582,              0.0099909,              0.0099909,              0.0099909
                     94,                 1.2894,                 2.9367,                 1.2795,                0.52528,                0.57234,                0.63889,                0.44017,                 1.2454,                 2.2142,                 1.3345,              0.0099908,              0.0099908,              0.0099908
                     95,                 1.1113,                  2.902,                 1.2068,                0.41546,                0.69412,                0.74372,                0.58862,                0.90888,                  2.138,                 1.1338,              0.0099907,              0.0099907,              0.0099907
                     96,                 1.1469,                 2.7984,                 1.2524,                0.55263,                0.62233,                0.73821,                0.57994,                0.96791,                 2.0841,                 1.1504,              0.0099906,              0.0099906,              0.0099906
                     97,                 1.2581,                 2.9329,                 1.2646,                0.53423,                0.70555,                0.78213,                0.60892,                 1.0051,                 1.9485,                 1.1731,              0.0099905,              0.0099905,              0.0099905
                     98,                 1.1964,                 3.0309,                 1.2346,                0.50576,                0.73276,                0.80239,                0.63387,                0.93884,                 1.7933,                 1.1332,              0.0099904,              0.0099904,              0.0099904
                     99,                 1.1805,                 2.8815,                 1.1855,                0.64152,                0.56756,                0.70706,                0.53123,                 1.0882,                  1.964,                 1.2001,              0.0099903,              0.0099903,              0.0099903
                    100,                 1.1257,                 2.7745,                 1.2109,                0.45239,                0.65903,                0.66829,                0.44589,                 1.3915,                 2.4162,                 1.3734,              0.0099902,              0.0099902,              0.0099902
                    101,                 1.1443,                 2.7617,                 1.1756,                0.45988,                0.69256,                0.65032,                0.46792,                 1.3057,                 2.1768,                 1.3377,              0.0099901,              0.0099901,              0.0099901
                    102,                 1.2081,                 2.8562,                 1.2239,                0.45327,                0.71296,                0.73456,                0.48515,                 1.4299,                 2.2967,                 1.4051,                0.00999,                0.00999,                0.00999
